epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.3386,3.73709,5.19676,1.50983,0.10245,0.07148,0.07064,0.03297,3.56525,4.01832,1.51732,0.000328947,0.000328947,0.0674342
2,107.871,3.45239,3.355,1.35155,0.23532,0.09468,0.06254,0.02244,3.45311,3.2476,1.31892,0.00065791,0.00065791,0.0344298
3,160.175,3.48726,3.26767,1.32727,0.51818,0.08751,0.10085,0.04518,3.30197,3.59351,1.37358,0.000982472,0.000982472,0.00142107
4,212.451,3.39934,3.13668,1.29374,0.32234,0.12928,0.10762,0.04431,3.20116,3.23524,1.29328,0.0009802,0.0009802,0.0009802
5,267.085,3.24382,3.04278,1.27526,0.37931,0.14411,0.13634,0.05143,3.2437,2.82225,1.26622,0.0009736,0.0009736,0.0009736
6,319.073,3.20077,2.92904,1.23186,0.40246,0.16274,0.14371,0.06594,3.06315,2.97445,1.25805,0.000967,0.000967,0.000967
7,372.507,3.26631,3.00624,1.25337,0.58681,0.12738,0.15809,0.06713,3.14892,2.89353,1.25993,0.0009604,0.0009604,0.0009604
8,422.711,3.13233,2.85377,1.23554,0.48691,0.16122,0.16117,0.06251,3.07124,2.68441,1.22773,0.0009538,0.0009538,0.0009538
9,473.607,3.12845,2.83799,1.20353,0.59561,0.13536,0.17308,0.07636,3.04105,2.79952,1.21383,0.0009472,0.0009472,0.0009472
10,526.362,3.09095,2.78198,1.19046,0.46986,0.17338,0.16734,0.07691,2.9942,2.592,1.24379,0.0009406,0.0009406,0.0009406
11,576.96,3.11656,2.78441,1.19847,0.41321,0.19197,0.17896,0.07781,2.96707,2.50682,1.21314,0.000934,0.000934,0.000934
12,629.949,3.05352,2.74727,1.18995,0.4395,0.17985,0.16925,0.07481,3.02297,2.55459,1.19241,0.0009274,0.0009274,0.0009274
13,680.677,3.12895,2.74717,1.1918,0.50279,0.21635,0.20724,0.08607,2.92108,2.53109,1.17292,0.0009208,0.0009208,0.0009208
